dataset_name,model_name,run_count,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
batadal,cnn1d,5,0.8901863354037267,0.0025759554476183504,0.0,0.0,0.0,0.0,0.0,0.0
batadal,lstm,5,0.9324223602484473,0.03129843185743806,0.4494121647381274,0.41982864839421513,0.5125,0.4707042595940683,0.47378476229722805,0.43365035767052695
skab,cnn1d,25,0.8818759633158922,0.03712494806801586,0.8785538668232563,0.09148250699458922,0.79249355752787,0.1251779624310015,0.821937616377314,0.06379610265672395
skab,lstm,25,0.9076649341666909,0.04166401487121469,0.9242955264379615,0.07680865856528132,0.8132974682296514,0.10972612167151484,0.8585599665732119,0
