dataset,scenario,seed_policy,n_runs,seeds,window_size,alphabet_size,paa_segments,fallback_probability,anomaly_threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,state_count_mean,state_count_std,transition_density_mean,transition_density_std,train_pattern_count_mean,train_pattern_count_std,test_pattern_count_mean,test_pattern_count_std,unseen_test_pattern_count_mean,unseen_test_pattern_count_std,unseen_ratio_mean,unseen_ratio_std,average_edit_distance_mean,average_edit_distance_std
BATADAL,gaussian_noise,five_seed_repeated,5,"42,123,2026,7,999",4,3,256,1e-06,0.05,0.4738095238095238,0.013041013273932518,0.11670055970149254,0.002926504975296175,0.44117647058823534,6.206335383118183e-17,0.1845612458820006,0.0036743615514464065,64.0,0.0,0.02685546875,0.0,253.0,0.0,253.0,0.0,68.6,1.140175425099138,0.2711462450592885,0.004506622233593422,0.0,0.0
BATADAL,original,deterministic_time_split,1,N/A,4,3,256,1e-06,1e-05,0.4642857142857143,0.0,0.11450381679389313,0.0,0.4411764705882353,0.0,0.18181818181818182,0.0,64.0,0.0,0.02685546875,0.0,253.0,0.0,253.0,0.0,70.0,0.0,0.2766798418972332,0.0,0.0,0.0
BATADAL,unseen_only,deterministic_time_split,1,N/A,4,3,256,1e-06,0.05,0.2898550724637681,0.0,0.1346153846153846,0.0,0.6363636363636364,0.0,0.2222222222222222,0.0,64.0,0.0,0.02685546875,0.0,253.0,0.0,253.0,0.0,69.0,0.0,0.27380952380952384,0.0,1.0,0.0
SKAB,gaussian_noise,five_seed_repeated,5,"42,123,2026,7,999",4,3,256,1e-06,0.05,0.549047619047619,0.00902112523071922,0.23547466228657649,0.1276209791489626,0.05553508689030989,0.04624078605010212,0.08589324313100703,0.06584061353139352,27.080000000000002,1.4669696656713795,0.053383619127350124,0.002945261813792384,253.0,0.0,253.0,0.0,12.48,4.265208084021224,0.04932806324110672,0.016858529976368476,0.0,0.0
SKAB,original,five_seed_repeated,5,"42,123,2026,7,999",4,3,256,1e-06,0.05,0.5479365079365079,0.009729912734144038,0.229509175988117,0.12937296326278722,0.05440646096447913,0.05028264001313163,0.08319866573728546,0.07014490278241127,27.080000000000002,1.4669696656713795,0.053383619127350124,0.002945261813792384,253.0,0.0,253.0,0.0,12.68,4.896120913539615,0.050118577075098814,0.019352256575255397,0.0,0.0
SKAB,unseen_only,five_seed_repeated,5,"42,123,2026,7,999",4,3,256,1e-06,0.05,0.3658817328137829,0.12084602466896392,0.21150347430347427,0.18028033616316408,0.48997902097902096,0.22436901566849554,0.2764558605073818,0.20929540241690012,27.080000000000002,1.4669696656713795,0.053383619127350124,0.002945261813792384,253.0,0.0,253.0,0.0,12.639999999999999,4.936395446071961,0.05015873015873016,0.019588870817745876,1.0399999999999998,0.04346134936801768
