dataset,scenario,window_size,alphabet_size,fallback_probability,anomaly_threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,state_count_mean,transition_density_mean,unseen_test_pattern_count_mean,unseen_ratio_mean,train_pattern_count_mean,test_pattern_count_mean
SKAB,original,3,3,1e-06,0.05,0.5652173913043479,0.01629686018030695,0.10444444444444442,0.12212117034696966,0.013827596351868195,0.01629642119889022,0.02431757499398613,0.02862931841735998,15.4,0.10939059327612004,4.0,0.015748031496062992,254.0,254.0
SKAB,original,3,4,1e-06,0.05,0.567588932806324,0.020270168229182723,0.2160573476702509,0.1250760999579615,0.037289959231706804,0.031480752900515815,0.06168567712801393,0.048607377342414375,23.6,0.07251224523339908,5.6,0.02204724409448819,254.0,254.0
SKAB,original,3,5,1e-06,0.05,0.5581027667984191,0.024904322532843283,0.25317139001349526,0.129482942365128,0.05548074363608344,0.03420411141207223,0.09010013725652051,0.05287861099900866,30.0,0.05663041297725492,8.8,0.034645669291338575,254.0,254.0
SKAB,original,3,6,1e-06,0.05,0.5525691699604742,0.041586587944862086,0.28760201039270805,0.12162542330004347,0.0878734641841438,0.07443138171042832,0.1289459793994318,0.10058103984393404,39.8,0.04238298913083588,13.4,0.05275590551181103,254.0,254.0
SKAB,original,4,3,1e-06,0.05,0.5428571428571429,0.017160117706698137,0.1339869281045752,0.11296393463214206,0.0170391122479333,0.02250009796765515,0.028906123375149924,0.036238116046582634,25.8,0.05626310853559531,12.4,0.049011857707509876,253.0,253.0
SKAB,original,4,4,1e-06,0.05,0.5325396825396825,0.014687901208985497,0.20806451612903226,0.08299880826651486,0.04936219689928352,0.03233898603849802,0.0787291887021585,0.04803569107143569,40.4,0.035792913871204035,16.2,0.06403162055335967,253.0,253.0
SKAB,original,4,5,1e-06,0.05,0.5325396825396825,0.018485420156908097,0.30954950846255197,0.09130869285759427,0.10294258602752135,0.04997673587076599,0.15244431708617914,0.06572907011001465,50.8,0.028105885572659035,24.2,0.09565217391304348,253.0,253.0
SKAB,original,4,6,1e-06,0.05,0.5325396825396826,0.028532822241662783,0.34905483405483406,0.11076858008267121,0.1207203655155515,0.0821036496907108,0.16828885010947842,0.09229312950550211,67.0,0.02166159351938543,36.4,0.14387351778656127,253.0,253.0
SKAB,original,5,3,1e-06,0.05,0.5298804780876494,0.019313465567395716,0.24184704184704184,0.13376277020660307,0.03480354836500396,0.03754743466426794,0.05720877313857885,0.05482919238119085,36.4,0.03618760556359757,22.6,0.08968253968253967,252.0,252.0
SKAB,original,5,4,1e-06,0.05,0.5179282868525896,0.016666534393109063,0.24271929824561403,0.1302679979475032,0.06997830985374984,0.05971614086761713,0.10663495281850457,0.08512467695564964,57.4,0.023736321158723393,29.6,0.11746031746031745,252.0,252.0
SKAB,original,5,5,1e-06,0.05,0.5195219123505976,0.023333148150352683,0.35082096314480127,0.10062428025916408,0.13247352301087773,0.0634103503239007,0.1894135773039531,0.07709987098553381,72.2,0.01820230162633532,45.4,0.18015873015873018,252.0,252.0
SKAB,original,5,6,1e-06,0.05,0.5227091633466135,0.07905129446776474,0.39032817552924237,0.13105641908606305,0.20361949680033722,0.16918253285450197,0.24999785104493805,0.1718969981289388,96.8,0.013476600391583191,60.6,0.24047619047619045,252.0,252.0
SKAB,original,6,3,1e-06,0.05,0.5,0.018547236990991423,0.22678571428571428,0.12108377752258277,0.049866819758124105,0.05821033508109906,0.07618837634709912,0.07864469139076007,47.2,0.026835859012210826,32.4,0.1290836653386454,251.0,251.0
SKAB,original,6,4,1e-06,0.05,0.4952,0.016346253393362056,0.26248790425261015,0.1067887488793174,0.07448707905229644,0.04634125245036061,0.114487616586786,0.06567527043008861,76.6,0.016573844759836708,41.0,0.16334661354581675,251.0,251.0
SKAB,original,6,5,1e-06,0.05,0.5376000000000001,0.08572514216961091,0.4249424146030748,0.1858360643640704,0.24136035103426406,0.18792178108049898,0.29843980771620104,0.20184444982855326,94.6,0.013066937532431771,65.8,0.2621513944223107,251.0,251.0
SKAB,original,6,6,1e-06,0.05,0.5224,0.046870033070182476,0.4517639319692982,0.06459893050917312,0.2920277838756099,0.14876054032138533,0.3368217123866911,0.14354119059116743,125.8,0.009555348108550419,87.4,0.34820717131474105,251.0,251.0
